iter	RMSE
0	0.6556105753
1	0.6439915574
2	0.6332788561
3	0.6227673478
4	0.6123557899
5	0.6024437201
6	0.5929199669
7	0.5835335268
8	0.5745009426
9	0.5658311915
10	0.5573094145
11	0.5492305495
12	0.5413714734
13	0.5342480167
14	0.5270169348
15	0.5200716859
16	0.5133946892
17	0.5072449429
18	0.5014275417
19	0.4953451212
20	0.4900293601
21	0.4846346707
22	0.479681717
23	0.4747421862
24	0.4701180217
25	0.465389468
26	0.4609042492
27	0.456657299
28	0.4524852442
29	0.4485568003
30	0.4445492298
31	0.4407539617
32	0.4373307782
33	0.4340505982
34	0.4308783352
35	0.4280242856
36	0.4249166896
37	0.4222365156
38	0.4194176602
39	0.4168511805
40	0.4142962485
41	0.4118234507
42	0.4095938712
43	0.4073956139
44	0.4051344028
45	0.4030705519
46	0.4010070284
47	0.3991599529
48	0.3972665479
49	0.3954747001
50	0.3936816937
51	0.392041057
52	0.3904258149
53	0.3888909222
54	0.3875499254
55	0.3862076665
56	0.3848592286
57	0.383550539
58	0.3821435075
59	0.3808307515
60	0.3796768137
61	0.3784866407
62	0.3773541276
63	0.3762747113
64	0.3751937508
65	0.3741298284
66	0.3731639756
67	0.3722155162
68	0.3711937634
69	0.3703098268
70	0.3694120781
71	0.3685877002
72	0.3676728874
73	0.3668370637
74	0.3660487139
75	0.3653873811
76	0.364640615
77	0.3639771452
78	0.3633689194
79	0.3627338572
80	0.3621717533
81	0.361571473
82	0.3610585841
83	0.3605415783
84	0.3599277745
85	0.3594753355
86	0.3590458818
87	0.3585080395
88	0.3580730231
89	0.3576121943
90	0.3570993603
91	0.3566237325
92	0.3561540202
93	0.3556945173
94	0.3552566576
95	0.3547775737
96	0.3544422231
97	0.3540501841
98	0.3535590059
99	0.3530895818
100	0.3526882324
101	0.3522706138
102	0.3519384316
103	0.3515984626
104	0.351246365
105	0.3509244305
106	0.350494106
107	0.350107264
108	0.3497654588
109	0.3494679108
110	0.34916851
111	0.3489677416
112	0.3487346175
113	0.3485376238
114	0.348262669
115	0.348009868
116	0.3477971644
117	0.3476217219
118	0.3473928659
119	0.3471275548
120	0.3468910706
121	0.3466521782
122	0.3464423151
123	0.3460788185
124	0.3457558272
125	0.3454822936
126	0.3451033559
127	0.344838697
128	0.3446080783
129	0.3443158393
130	0.3439942368
131	0.3438210446
132	0.3436255457
133	0.3433559154
134	0.3430944757
135	0.3428826412
136	0.3427088284
137	0.3425054737
138	0.3422121588
139	0.3420865898
140	0.3418982633
141	0.3416924686
142	0.3414040708
143	0.341165379
144	0.3410419196
145	0.3408668022
146	0.3406377377
147	0.3404067042
148	0.3402594683
149	0.3401101194
150	0.3399116179
151	0.3397629643
152	0.3395176136
153	0.3394091541
154	0.3392280308
155	0.3390536687
156	0.3389141531
157	0.3386630749
158	0.3384141985
159	0.3382782819
160	0.3380690035
161	0.3379649085
162	0.3378005616
163	0.3375821418
164	0.3373813058
165	0.3371820253
166	0.3370107479
167	0.3368755041
168	0.3366515996
169	0.3365188224
170	0.3363971857
171	0.3362277193
172	0.3361041162
173	0.3358923355
174	0.3358149126
175	0.3356844785
176	0.3354984732
177	0.3353231569
178	0.3350241518
179	0.334962902
180	0.3348060114
181	0.3346769119
182	0.3345504507
183	0.3343181509
184	0.3341086308
185	0.3339918657
186	0.3337894222
187	0.3335870977
188	0.3333871993
189	0.3332628026
190	0.3331303628
191	0.3329687842
192	0.3328483434
193	0.3327150724
194	0.3326533909
195	0.3324630112
196	0.332267002
197	0.3321350822
198	0.3320045089
199	0.3318603602
200	0.3317576823
201	0.3316091949
202	0.3314512903
203	0.3312859652
204	0.3311522861
205	0.3310122085
206	0.3308640621
207	0.3307617624
208	0.3306472808
209	0.3304841107
210	0.3303265185
211	0.3300987648
212	0.3299749701
213	0.3298480267
214	0.3297212065
215	0.3296158013
216	0.3295491508
217	0.329441892
218	0.3293719666
219	0.3292193927
220	0.3291053218
221	0.3290140716
222	0.3289069274
223	0.3287635644
224	0.3286214997
225	0.3284888543
226	0.3283799534
227	0.3282743631
228	0.3281508682
229	0.3280224857
230	0.3277856754
231	0.327614575
232	0.3274749578
233	0.3273715177
234	0.3272755383
235	0.3271416697
236	0.3270261889
237	0.3269428279
238	0.326823529
239	0.3267244593
240	0.3266871307
241	0.3265430693
242	0.3264316593
243	0.326333226
244	0.3262628109
245	0.3261243536
246	0.3259436283
247	0.3258771072
248	0.3257489668
249	0.3256827907
250	0.3256114649
251	0.32551459
252	0.3253768149
253	0.3251910349
254	0.3250476891
255	0.3248688358
256	0.3247844042
257	0.3247141614
258	0.3245827704
259	0.3244118917
260	0.3243441218
261	0.32421626
262	0.3240715311
263	0.3239796132
264	0.3238446984
265	0.323754072
266	0.323659059
267	0.3235046481
268	0.3233894442
269	0.3232859328
270	0.3231519251
271	0.3230748216
272	0.3229161224
273	0.3227676139
274	0.3226256442
275	0.3225251015
276	0.32244254
277	0.3223386353
278	0.3222475957
279	0.3221335361
280	0.3220055628
281	0.3218712089
282	0.3217663455
283	0.321604802
284	0.3215411421
285	0.3214353601
286	0.3212657357
287	0.3211451521
288	0.321024849
289	0.320988192
290	0.3209293468
291	0.3207770298
292	0.3206969805
293	0.3205526834
294	0.3204105352
295	0.3204095516
296	0.3203347012
297	0.3202629955
298	0.3202136865
299	0.3200619365
300	0.3198934641
301	0.3197529821
302	0.3197021651
303	0.3196032098
304	0.3194675465
305	0.3193368019
306	0.319264796
307	0.3191509063
308	0.3190853516
309	0.3189390694
310	0.3188534863
311	0.3187564346
312	0.3186320248
313	0.3185685001
314	0.31846536
315	0.3183514453
316	0.3182425647
317	0.3181522659
318	0.3180136491
319	0.3178983595
320	0.3177815978
321	0.3177541253
322	0.3176911542
323	0.3175887599
324	0.317472838
325	0.3173282076
326	0.317226181
327	0.3171018466
328	0.3170134707
329	0.3169586579
330	0.3168448584
331	0.3167908732
332	0.3167010252
333	0.316683339
334	0.3165587413
335	0.3164923611
336	0.3164175314
337	0.3163261834
338	0.3162789544
339	0.3161734812
340	0.3160664111
341	0.3160121453
