iter	Quantile:alpha=0.35
0	0.2428413129
1	0.2381885968
2	0.2336705031
3	0.2291585875
4	0.2252918476
5	0.2211488846
6	0.2170893188
7	0.2133022059
8	0.2097070138
9	0.206415193
10	0.2030233755
11	0.1997644943
12	0.1967250137
13	0.1936696429
14	0.1908693308
15	0.1881211243
16	0.1853296273
17	0.1827916711
18	0.1803875196
19	0.1779174347
20	0.1754882905
21	0.1732976114
22	0.1711112898
23	0.1689477288
24	0.1670354544
25	0.1650744666
26	0.1632690921
27	0.1614576133
28	0.1597019044
29	0.1580597448
30	0.1565850459
31	0.155185097
32	0.1538458402
33	0.1523495881
34	0.1508532819
35	0.1497218699
36	0.1484646797
37	0.1472141802
38	0.1459125971
39	0.1447341917
40	0.1436948365
41	0.1426194684
42	0.1415767855
43	0.1405329971
44	0.1395842072
45	0.1386480613
46	0.1376911927
47	0.1367287671
48	0.1358695345
49	0.1349595689
50	0.134174885
51	0.1333835575
52	0.1325792275
53	0.1317162505
54	0.1310063012
55	0.1303583929
56	0.129820736
57	0.12922496
58	0.1285695627
59	0.1278397358
60	0.1272847091
61	0.1266598809
62	0.1261587167
63	0.125571396
64	0.1251047532
65	0.1246068101
66	0.1241752345
67	0.1237616708
68	0.1232770435
69	0.1228184033
70	0.1223957669
71	0.1219551668
72	0.1215773272
73	0.1212172123
74	0.1208270931
75	0.1204453064
76	0.1201272939
77	0.1197996735
78	0.1194917878
79	0.1192064076
80	0.1187463434
81	0.1183983394
82	0.1180782665
83	0.1178128726
84	0.1174708965
85	0.1171323646
86	0.1169089797
87	0.1166600656
88	0.1164376913
89	0.1162274955
90	0.1160096099
91	0.1157457483
92	0.1154819594
93	0.1152277344
94	0.1149989639
95	0.1147642165
96	0.1145115563
97	0.1143152254
98	0.1140884472
99	0.113885635
100	0.1136186724
101	0.1134121344
102	0.1132138335
103	0.1130467602
104	0.1128355015
105	0.1126512344
106	0.1125127446
107	0.1123669264
108	0.1121945467
109	0.1120448618
110	0.1119002846
111	0.1117797106
112	0.1116274851
113	0.1115175271
114	0.1113713892
115	0.1113270771
116	0.1111733548
117	0.1109922006
118	0.1108728118
119	0.1107567129
120	0.1106335532
121	0.1105188314
122	0.1104157201
123	0.1102429379
124	0.110146971
125	0.1099903768
126	0.1098419419
127	0.1097107142
128	0.1095854192
129	0.1094763706
130	0.1093790881
131	0.1092790149
132	0.1092066085
133	0.1091222416
134	0.1090056055
135	0.1088862195
136	0.1087608018
137	0.1086588467
138	0.1085149172
139	0.1084624994
140	0.1083584414
141	0.1082712149
142	0.1081586874
143	0.1081004696
144	0.1080233697
145	0.1079533099
146	0.1078656406
147	0.107816206
148	0.1077243434
149	0.1076122465
150	0.1074786414
151	0.1073410157
152	0.107236802
153	0.1071580886
154	0.1070395253
155	0.1069205883
156	0.1068371294
157	0.106713277
158	0.1065583695
159	0.1064747804
160	0.1063591697
161	0.1063136717
162	0.1062341269
163	0.1061419226
164	0.1060978144
165	0.1060096192
166	0.1059056911
167	0.1058160947
168	0.1056664434
169	0.105532651
170	0.1054453142
171	0.1053808189
172	0.1052395552
173	0.1051129505
174	0.1050361224
175	0.1049139511
176	0.1048439578
177	0.1047326452
178	0.1046462994
179	0.1045782304
180	0.1045051817
181	0.1044047249
182	0.1043111613
183	0.1042583338
184	0.1041528596
185	0.1040956474
186	0.1040536805
187	0.103959085
188	0.1038693642
189	0.1037843249
190	0.1036927611
191	0.1036485512
192	0.1035412775
193	0.1034614581
194	0.1034244465
195	0.103342102
196	0.1032846838
197	0.1032233588
198	0.1031489632
199	0.1030911604
200	0.1030239713
201	0.1029516177
202	0.1028867814
203	0.1028591407
204	0.1027928703
205	0.1026811875
206	0.1026236602
207	0.1025304716
208	0.1024269503
209	0.1023461162
210	0.1022869876
211	0.1021841593
212	0.102134076
213	0.1020224356
214	0.1019828689
215	0.1018957729
216	0.10182387
217	0.1017759341
218	0.1016797898
219	0.1016090456
220	0.1015484509
221	0.1015031813
222	0.1014339623
223	0.1013500772
224	0.1012344162
225	0.1011172045
226	0.1010491678
227	0.100961078
228	0.1009204688
229	0.1008528783
230	0.1007753119
231	0.1006970935
232	0.1006153779
233	0.1005111968
234	0.1004089408
235	0.1003359761
236	0.1002764372
237	0.100230408
238	0.1001970406
239	0.1001295236
240	0.1000855718
241	0.1000261204
242	0.09996812209
243	0.09991887351
244	0.09985502347
245	0.0997948771
246	0.09975153045
247	0.09968520695
248	0.09963094103
249	0.09955920387
250	0.09947739807
251	0.09940611445
252	0.09930631449
253	0.09924695498
254	0.09919771767
255	0.09915918226
256	0.09905506061
257	0.0989893064
258	0.0989294484
259	0.09884501908
260	0.09877561357
261	0.09871119237
262	0.09866291189
263	0.09860223365
264	0.09848947979
265	0.09843683796
266	0.09837063722
267	0.09830444269
268	0.09825995581
269	0.09818577526
270	0.09814606787
271	0.09810416338
272	0.09806016865
273	0.09802257945
274	0.0979499485
275	0.0978784078
276	0.09781012441
277	0.09777039103
278	0.09771708664
279	0.09766107281
280	0.09760908106
281	0.09756349115
282	0.09751835838
283	0.09747096513
284	0.0974138428
285	0.09735241658
286	0.09729400832
287	0.09723120633
288	0.09717813788
289	0.09709318964
290	0.09703762507
291	0.09698853775
292	0.09691483187
293	0.09689126544
294	0.0968493237
295	0.09679900931
296	0.09676377412
297	0.09673663327
298	0.09666311305
299	0.0966242108
300	0.09657525415
301	0.09654002976
302	0.09647488227
303	0.09642497404
304	0.09636359685
305	0.09629087066
306	0.09623824054
307	0.09618240579
308	0.0961136305
309	0.09606498421
310	0.09602297408
311	0.09596878495
312	0.09593528262
313	0.09585100668
314	0.09580825682
315	0.0957209805
316	0.09564311742
317	0.09555946266
318	0.0954881824
319	0.0954647699
320	0.09541033761
321	0.09534013999
322	0.09526984262
323	0.09523856671
324	0.09520550268
325	0.09517733555
326	0.09510248717
327	0.0950772816
328	0.09499974487
329	0.09494202627
330	0.0948551695
331	0.09478465003
332	0.0947154697
333	0.09465741199
334	0.09461282681
335	0.09455260686
336	0.09448480467
337	0.09442449607
338	0.09437234318
339	0.09430090623
340	0.09423802075
341	0.09415461258
342	0.09409338591
343	0.09403615332
344	0.09396556837
345	0.0938967968
346	0.09382874657
347	0.09378525991
348	0.09375662578
349	0.09368146208
350	0.09364113449
351	0.09359370734
352	0.0935398377
353	0.0934714677
354	0.09343436624
355	0.09335955943
356	0.09332238098
357	0.09327706345
358	0.09319536277
359	0.09314280846
360	0.09309724731
361	0.09302572718
362	0.09298524184
363	0.09292342937
364	0.09285924891
365	0.0927989518
366	0.09275411281
367	0.09271040978
368	0.09268486796
369	0.09262095165
370	0.09259332382
371	0.09256505874
372	0.0925406755
373	0.0924686664
374	0.09239829475
375	0.09236377163
376	0.0922912153
377	0.09226174596
378	0.09221725852
379	0.09216610692
380	0.09212817113
381	0.09210105455
382	0.09206690652
383	0.09201701747
384	0.09194162186
385	0.09189397443
386	0.09186004128
387	0.09180748764
388	0.09177889336
389	0.09173535446
390	0.09168541444
391	0.09165863876
392	0.09160596019
393	0.09157072916
394	0.09153949986
395	0.0915076347
396	0.09147156272
397	0.09139937012
398	0.09128202618
399	0.09124487488
400	0.09121063455
401	0.09115950879
402	0.09110867173
403	0.09107661442
404	0.09102909472
405	0.09096631568
406	0.09089220375
407	0.09082859497
408	0.09080115429
409	0.09075815276
410	0.09071974294
411	0.09066189532
412	0.09057500231
413	0.09050796385
414	0.09046667148
415	0.09042021465
416	0.09036004561
417	0.09029522204
418	0.09024517462
419	0.09018652414
420	0.09016084957
421	0.09012252293
422	0.09007265898
423	0.0900059017
424	0.08994950646
425	0.08989137954
426	0.08985428179
427	0.08979789307
428	0.08976389094
429	0.08971208096
430	0.08966139959
431	0.08962015763
432	0.08958841385
433	0.08956357776
434	0.08952604123
435	0.0894754304
436	0.08942247285
437	0.08935664501
438	0.08926621249
439	0.08922056552
440	0.08919235645
441	0.0891615303
442	0.08911157869
443	0.08902907067
444	0.08900374312
445	0.08896513967
446	0.08891908291
447	0.08888511866
448	0.0888443564
449	0.08882561924
450	0.08879157331
451	0.08874612595
452	0.08870424501
453	0.08867018674
454	0.08862557449
455	0.08858843692
456	0.08856454219
457	0.08851895453
458	0.088479556
459	0.08844933794
460	0.08842009817
461	0.08839429244
462	0.08832833275
463	0.08829212945
464	0.08826734432
465	0.08823445574
466	0.08819786952
467	0.0881565781
468	0.08810140606
469	0.08805618104
470	0.08800734206
471	0.0879784838
472	0.08792193999
473	0.08789880092
474	0.08786866407
475	0.0878282431
476	0.08777247621
477	0.08769708928
478	0.08764864035
479	0.08761356877
480	0.08756847807
481	0.08753472391
482	0.08749004332
483	0.08743796922
484	0.08738689836
485	0.08733620264
486	0.08729258834
487	0.08724873126
488	0.08720035157
489	0.08714482794
490	0.08710813698
491	0.08707390299
492	0.08705078435
493	0.08700351969
494	0.08697120118
495	0.08691782087
496	0.08688850793
497	0.08685225583
498	0.08680722667
499	0.08679134161
500	0.08675451168
501	0.08671942123
502	0.08667645124
503	0.08663754646
504	0.08659615057
505	0.08655827404
506	0.08652846714
507	0.08651464578
508	0.08647297323
509	0.08643252355
510	0.08638498826
511	0.08635317372
512	0.08632414904
513	0.08627690651
514	0.08621031779
515	0.08617785501
516	0.08614134005
517	0.08608806615
518	0.08606688823
519	0.08601590489
520	0.08599728521
521	0.08595590113
522	0.08591371879
523	0.08588480432
524	0.08585443114
525	0.08578969619
526	0.08574695662
527	0.08571183738
528	0.08568705529
529	0.08564564443
530	0.08557009322
531	0.08554395663
532	0.08551923638
533	0.0854938555
534	0.08547174907
535	0.08543409337
536	0.08540223278
537	0.08536593972
538	0.08529810217
539	0.08525689821
540	0.08521688001
541	0.08519852777
542	0.08517530191
543	0.08512849461
544	0.08509837801
545	0.08507981199
546	0.08505112181
547	0.08499390053
548	0.08495635741
549	0.0849161322
550	0.08485713153
551	0.08483543765
552	0.08480561661
553	0.08476146238
554	0.08473331512
555	0.08471514053
556	0.08468362738
557	0.08465707854
558	0.08463833963
559	0.0846088321
560	0.08456023619
561	0.0845197341
562	0.08445939433
563	0.08442414324
564	0.08437421734
565	0.08435125157
566	0.08429964185
567	0.08427673304
568	0.08424231197
569	0.08420447491
570	0.08418589284
571	0.08415281046
572	0.08408748825
573	0.08406871464
574	0.0840333804
575	0.08399596671
576	0.08397826235
577	0.08394590179
578	0.08391760436
579	0.08388668365
580	0.08386143598
581	0.08383897682
582	0.08381972119
583	0.0837975933
584	0.08377682213
585	0.08375372895
586	0.08373470831
587	0.08369168448
588	0.08365671563
589	0.08360842995
590	0.08357328253
591	0.0835377955
592	0.0835045365
593	0.08346786839
594	0.08343830342
595	0.08341940149
596	0.08338294489
597	0.08334730785
598	0.08333399969
599	0.08330325567
600	0.0832839393
601	0.08323853904
602	0.08320997838
603	0.08317762988
604	0.08315538536
605	0.08312783811
606	0.08309217749
607	0.08306300234
608	0.0830280587
609	0.08300318891
610	0.08298249372
611	0.08295457717
612	0.08293192027
613	0.08290485629
614	0.0828767861
615	0.08284697374
616	0.08282218983
617	0.0828105027
618	0.08278849392
619	0.08273502427
620	0.08267146973
621	0.08265236908
622	0.08262330903
623	0.08259885715
624	0.08258393488
625	0.08255220868
626	0.08252681346
627	0.08250676419
628	0.08248596305
629	0.08246601128
630	0.08244707126
631	0.08240557407
632	0.08234189123
633	0.08233546757
634	0.08230734039
635	0.08228007928
636	0.08224560152
637	0.08222397099
638	0.08220577353
639	0.08218826335
640	0.08215883847
641	0.08210993748
642	0.08209016306
643	0.08204224789
644	0.08202083538
645	0.08199099941
646	0.08195032647
647	0.08192329766
648	0.08189894434
649	0.08187793339
650	0.08185787115
651	0.08184526778
652	0.08178389475
653	0.08176422552
654	0.08175464222
655	0.08174311319
656	0.08172508513
657	0.08169521329
658	0.08166907202
659	0.08165423774
660	0.0816221595
661	0.0815967786
662	0.08155435276
663	0.08151657095
664	0.08149455543
665	0.08146113581
666	0.0814463961
667	0.08142319842
668	0.08139492842
669	0.08135565079
670	0.081333147
671	0.08130930831
672	0.08127174994
673	0.08125057701
674	0.08122029426
675	0.08119706547
676	0.08117006779
677	0.08111787201
678	0.08107525057
679	0.08106006817
680	0.0810352397
681	0.08102550565
682	0.08100167946
683	0.0809868594
684	0.08096479744
685	0.08094822853
686	0.08093347892
687	0.08091726873
688	0.08087925289
689	0.08086244011
690	0.08084517289
691	0.08081371437
692	0.08079818944
693	0.08077096469
694	0.08074734651
695	0.08071088238
696	0.08067920604
697	0.08065978055
698	0.08065269247
699	0.0806347251
700	0.0805796307
701	0.08056735207
702	0.08054164233
703	0.08051527146
704	0.08049030155
705	0.08046286629
706	0.08043623539
707	0.08040461734
708	0.08037769376
709	0.08033893415
710	0.0802937599
711	0.08027150559
712	0.08024593614
713	0.08023301949
714	0.08019119372
715	0.08016202723
716	0.08012123074
717	0.08009758138
718	0.08007088368
719	0.0800447957
720	0.08003226564
721	0.08000583237
722	0.07998662717
723	0.07996239741
724	0.07994789051
725	0.0799296172
726	0.07991432687
727	0.07988870682
728	0.07986199005
729	0.07983767407
730	0.0798144885
731	0.07977347046
732	0.07974048869
733	0.07971543705
734	0.07965762258
735	0.07963331335
736	0.07961695006
737	0.07959886844
738	0.07957573137
739	0.0795684735
740	0.07955820268
741	0.0795439168
742	0.07951587987
743	0.07950562273
744	0.07949025364
745	0.0794679831
746	0.07945454472
747	0.07942640973
748	0.07939654643
749	0.07938284942
750	0.07937310625
751	0.07936419756
752	0.07931568201
753	0.07929762858
754	0.07928115984
755	0.07925888668
756	0.07924629547
757	0.07922531287
758	0.07919948101
759	0.07917629015
760	0.07916239389
761	0.07915300645
762	0.07912170091
763	0.07910356404
764	0.07907763254
765	0.0790627994
766	0.07903761924
767	0.07902362526
768	0.0790012083
769	0.07894891634
770	0.07891823997
771	0.07888953147
772	0.07887295856
773	0.07883123336
774	0.07882162166
775	0.07879714628
776	0.07878229017
777	0.07873710807
778	0.07871552278
779	0.07870345403
780	0.0786830421
781	0.07864638968
782	0.07863338515
783	0.07860834536
784	0.07859160084
785	0.07856401089
786	0.07853239647
787	0.07850480823
788	0.07847246063
789	0.07844077787
790	0.07843445947
791	0.07840482175
792	0.07838399738
793	0.07836450114
794	0.07831756469
795	0.07829695587
796	0.07827614921
797	0.07826687359
798	0.07823400432
799	0.07821914444
800	0.07819709531
801	0.07816641703
802	0.07815303757
803	0.07813243487
804	0.07811604581
805	0.07810943372
806	0.0780943224
807	0.07805900228
808	0.07803786393
809	0.07800675814
810	0.07799034882
811	0.07795170809
812	0.07792880696
813	0.07786622443
814	0.07784649806
815	0.07783372375
816	0.07781590416
817	0.07780392108
818	0.07779081065
819	0.07775183509
820	0.07773291595
821	0.07771010574
822	0.07768857271
823	0.07767336392
824	0.07766095418
825	0.07762217779
826	0.07758610336
827	0.0775724401
828	0.07754685835
829	0.07751677456
830	0.07748297654
831	0.07746775967
832	0.07744729321
833	0.07741483479
834	0.0774031955
835	0.07738014552
836	0.07735122538
837	0.07733855971
838	0.07732161836
839	0.07730484055
840	0.07728729243
841	0.0772736111
