iter	Passed	Remaining
0	29	26710
1	61	27812
2	99	29835
3	134	30222
4	162	29062
5	197	29466
6	240	30667
7	269	30038
8	304	30178
9	331	29498
10	365	29501
11	402	29759
12	445	30381
13	480	30430
14	512	30222
15	550	30396
16	602	31277
17	641	31424
18	679	31523
19	726	31963
20	796	33327
21	839	33501
22	875	33390
23	908	33144
24	945	33082
25	982	33042
26	1014	32816
27	1044	32530
28	1081	32480
29	1108	32148
30	1152	32298
31	1181	32059
32	1211	31821
33	1241	31614
34	1275	31531
35	1313	31533
36	1348	31445
37	1383	31382
38	1415	31248
39	1458	31364
40	1490	31217
41	1526	31190
42	1573	31358
43	1607	31277
44	1643	31224
45	1673	31065
46	1708	31011
47	1747	31016
48	1781	30938
49	1815	30868
50	1849	30789
51	1887	30787
52	1927	30803
53	1955	30641
54	1991	30599
55	2025	30526
56	2060	30478
57	2094	30399
58	2133	30408
59	2164	30306
60	2198	30244
61	2229	30132
62	2266	30110
63	2296	29991
64	2344	30119
65	2377	30039
66	2412	29989
67	2445	29923
68	2492	30018
69	2525	29946
70	2565	29958
71	2602	29932
72	2636	29870
73	2663	29726
74	2695	29654
75	2733	29638
76	2771	29624
77	2805	29567
78	2834	29457
79	2871	29428
80	2930	29634
81	2970	29630
82	3016	29691
83	3049	29619
84	3093	29663
85	3159	29905
86	3216	30059
87	3273	30208
88	3343	30463
89	3402	30625
90	3471	30864
91	3534	31040
92	3592	31175
93	3652	31318
94	3719	31516
95	3770	31579
96	3818	31611
97	3872	31689
98	3948	31945
99	4003	32026
100	4065	32161
101	4118	32221
102	4178	32331
103	4231	32384
104	4311	32643
105	4365	32702
106	4434	32863
107	4485	32894
108	4548	33009
109	4609	33104
110	4695	33374
111	4762	33509
112	4886	34030
113	4936	34036
114	5017	34249
115	5024	33956
116	5075	33969
117	5127	33983
118	5189	34057
119	5231	34003
120	5278	33984
121	5323	33950
122	5379	33985
123	5437	34028
124	5490	34043
125	5538	34019
126	5593	34044
127	5645	34047
128	5707	34114
129	5768	34165
130	5816	34146
131	5852	34048
132	5905	34056
133	5960	34074
134	6020	34115
135	6077	34141
136	6131	34149
137	6178	34116
138	6243	34184
139	6292	34160
140	6343	34149
141	6400	34166
142	6456	34177
143	6497	34112
144	6549	34103
145	6601	34092
146	6671	34172
147	6745	34273
148	6791	34232
149	6829	34145
150	6876	34109
151	6921	34061
152	6983	34095
153	7024	34028
154	7061	33939
155	7095	33842
156	7136	33775
157	7175	33698
158	7215	33625
159	7248	33524
160	7291	33469
161	7333	33407
162	7376	33351
163	7413	33269
164	7451	33192
165	7493	33134
166	7537	33083
167	7580	33027
168	7621	32967
169	7656	32876
170	7697	32816
171	7731	32723
172	7765	32634
173	7801	32549
174	7840	32483
175	7875	32396
176	7920	32354
177	7961	32292
178	8004	32240
179	8042	32171
180	8086	32123
181	8128	32068
182	8165	31992
183	8204	31927
184	8260	31924
185	8307	31889
186	8354	31853
187	8389	31772
188	8427	31702
189	8468	31645
190	8509	31587
191	8547	31517
192	8586	31455
193	8623	31383
194	8664	31324
195	8699	31247
196	8742	31197
197	8781	31133
198	8813	31047
199	8851	30981
200	8901	30957
201	8941	30897
202	8981	30838
203	9022	30781
204	9062	30725
205	9096	30644
206	9128	30560
207	9163	30485
208	9197	30408
209	9234	30342
210	9271	30274
211	9301	30186
212	9333	30102
213	9364	30019
214	9399	29947
215	9435	29880
216	9474	29821
217	9508	29746
218	9548	29691
219	9585	29626
220	9612	29533
221	9646	29460
222	9684	29400
223	9725	29350
224	9773	29319
225	9812	29264
226	9849	29202
227	9893	29159
228	9952	29163
229	9994	29113
230	10030	29048
231	10073	29005
232	10120	28970
233	10161	28921
234	10211	28897
235	10254	28851
236	10300	28816
237	10337	28754
238	10382	28715
239	10422	28661
240	10479	28655
241	10531	28634
242	10627	28733
243	10710	28794
244	10797	28867
245	10895	28966
246	10939	28921
247	10983	28875
248	11023	28821
249	11065	28769
250	11165	28869
251	11213	28833
252	11258	28791
253	11299	28737
254	11351	28712
255	11403	28688
256	11467	28692
257	11509	28639
258	11551	28589
259	11597	28548
260	11632	28479
261	11677	28436
262	11725	28398
263	11764	28341
264	11815	28311
265	11857	28262
266	11898	28207
267	11939	28156
268	11991	28129
269	12028	28066
270	12065	28003
271	12109	27959
272	12161	27931
273	12211	27899
274	12261	27866
275	12303	27817
276	12346	27769
277	12385	27711
278	12427	27660
279	12472	27617
280	12512	27563
281	12543	27489
282	12577	27422
283	12616	27365
284	12655	27309
285	12688	27240
286	12726	27182
287	12758	27111
288	12798	27057
289	12834	26996
290	12872	26939
291	12906	26873
292	12941	26811
293	12975	26745
294	13006	26675
295	13040	26609
296	13081	26559
297	13120	26504
298	13150	26433
299	13185	26371
300	13217	26304
301	13252	26241
302	13289	26183
303	13322	26119
304	13361	26065
305	13397	26007
306	13438	25957
307	13469	25889
308	13505	25831
309	13536	25762
310	13570	25701
311	13601	25633
312	13642	25584
313	13675	25521
314	13706	25454
315	13735	25385
316	13773	25330
317	13813	25281
318	13849	25223
319	13884	25165
320	13920	25108
321	13956	25052
322	13993	24996
323	14027	24937
324	14060	24876
325	14091	24811
326	14127	24755
327	14161	24695
328	14206	24655
329	14235	24588
330	14267	24526
331	14297	24460
332	14329	24398
333	14363	24341
334	14398	24284
335	14434	24229
336	14468	24171
337	14495	24101
338	14533	24050
339	14567	23993
340	14612	23954
341	14643	23892
342	14678	23837
343	14716	23786
344	14756	23739
345	14788	23678
346	14816	23612
347	14859	23569
348	14890	23508
349	14927	23456
350	14965	23407
351	14992	23340
352	15027	23286
353	15058	23225
354	15100	23181
355	15136	23130
356	15172	23078
357	15211	23029
358	15248	22979
359	15280	22921
360	15321	22876
361	15355	22821
362	15392	22770
363	15427	22717
364	15467	22671
365	15498	22612
366	15535	22562
367	15567	22505
368	15615	22471
369	15648	22415
370	15685	22365
371	15720	22313
